sms_text,category,true_merchant,true_amount
Paid Rs 840 to Blinkit via UPI on 09-02-2026. Txn ID: 998877.,Groceries,Blinkit,840
UPI txn of Rs 1646 to Apollo Pharmacy on 25-01-2026 is successful.,Health,Apollo Pharmacy,1646
Acct XX999 debited by Rs 944 for Spencers on 04-02-2026.,Groceries,Spencers,944
UPI txn of Rs 3287 to Decathlon on 26-01-2026 is successful.,Shopping,Decathlon,3287
INR 1631 charged on card ending 4455 at Dr Lal Pathlabs on 04-02-2026.,Health,Dr Lal Pathlabs,1631
INR 448 charged on card ending 4455 at SonyLIV on 21-01-2026.,Entertainment,SonyLIV,448
Rs. 1239 debited from a/c ending XX1234 on 01-02-2026 to Dominos. Avl Bal: Rs 15000.,Food,Dominos,1239
Paid Rs 77 to Apollo Pharmacy via UPI on 27-01-2026. Txn ID: 998877.,Health,Apollo Pharmacy,77
Paid Rs 1473 to Starbucks via UPI on 17-01-2026. Txn ID: 998877.,Food,Starbucks,1473
Alert: You have spent Rs 1156 at More Supermarket on 23-01-2026. Clear bal: Rs. 1200.00,Groceries,More Supermarket,1156
INR 641 charged on card ending 4455 at Spotify on 16-01-2026.,Entertainment,Spotify,641
Acct XX999 debited by Rs 1133 for Hotstar on 04-02-2026.,Entertainment,Hotstar,1133
"Dear User, INR 66 spent on Metro at 19-01-2026. Ref: 8932742.",Travel,Metro,66
Acct XX999 debited by Rs 1922 for Practo on 31-01-2026.,Health,Practo,1922
Txn of INR 385 done at Zomato on 31-01-2026 using UPI.,Food,Zomato,385
UPI txn of Rs 1491 to Rapido on 30-01-2026 is successful.,Travel,Rapido,1491
UPI txn of Rs 1199 to Dominos on 23-01-2026 is successful.,Food,Dominos,1199
UPI txn of Rs 1938 to Reliance Trends on 31-01-2026 is successful.,Shopping,Reliance Trends,1938
You paid Rs 1774 at Gym Membership via POS on 22-01-2026.,Health,Gym Membership,1774
UPI txn of Rs 1280 to Ajio on 30-01-2026 is successful.,Shopping,Ajio,1280
Rs. 1007 debited from a/c ending XX1234 on 21-01-2026 to Reliance Trends. Avl Bal: Rs 15000.,Shopping,Reliance Trends,1007
"Dear User, INR 60 spent on Blinkit at 27-01-2026. Ref: 8932742.",Groceries,Blinkit,60
INR 508 charged on card ending 4455 at IndiGo on 21-01-2026.,Travel,IndiGo,508
Paid Rs 4752 to H&M via UPI on 18-01-2026. Txn ID: 998877.,Shopping,H&M,4752
"Dear User, INR 123 spent on Dmart at 14-01-2026. Ref: 8932742.",Groceries,Dmart,123
Rs. 486 debited from a/c ending XX1234 on 04-02-2026 to Shell Petrol. Avl Bal: Rs 15000.,Travel,Shell Petrol,486
You paid Rs 541 at Zomato via POS on 21-01-2026.,Food,Zomato,541
INR 435 charged on card ending 4455 at Practo on 29-01-2026.,Health,Practo,435
Alert: You have spent Rs 140 at Metro on 29-01-2026. Clear bal: Rs. 1200.00,Travel,Metro,140
INR 1502 charged on card ending 4455 at RedBus on 02-02-2026.,Travel,RedBus,1502
Rs. 1700 debited from a/c ending XX1234 on 17-01-2026 to BigBasket. Avl Bal: Rs 15000.,Groceries,BigBasket,1700
Acct XX999 debited by Rs 1129 for Netmeds on 20-01-2026.,Health,Netmeds,1129
Alert: You have spent Rs 257 at Reliance Fresh on 23-01-2026. Clear bal: Rs. 1200.00,Groceries,Reliance Fresh,257
Alert: You have spent Rs 541 at Dr Lal Pathlabs on 07-02-2026. Clear bal: Rs. 1200.00,Health,Dr Lal Pathlabs,541
Acct XX999 debited by Rs 337 for Burger King on 09-02-2026.,Food,Burger King,337
Acct XX999 debited by Rs 746 for 1mg on 19-01-2026.,Health,1mg,746
Acct XX999 debited by Rs 915 for BookMyShow on 15-01-2026.,Entertainment,BookMyShow,915
INR 1816 charged on card ending 4455 at SpiceJet on 23-01-2026.,Travel,SpiceJet,1816
UPI txn of Rs 818 to Blinkit on 23-01-2026 is successful.,Groceries,Blinkit,818
Rs. 913 debited from a/c ending XX1234 on 06-02-2026 to Spotify. Avl Bal: Rs 15000.,Entertainment,Spotify,913
"Dear User, INR 1597 spent on Myntra at 05-02-2026. Ref: 8932742.",Shopping,Myntra,1597
Alert: You have spent Rs 635 at BigBasket on 09-02-2026. Clear bal: Rs. 1200.00,Groceries,BigBasket,635
Alert: You have spent Rs 992 at SpiceJet on 02-02-2026. Clear bal: Rs. 1200.00,Travel,SpiceJet,992
Acct XX999 debited by Rs 1236 for Blinkit on 20-01-2026.,Groceries,Blinkit,1236
Paid Rs 680 to Gaana via UPI on 05-02-2026. Txn ID: 998877.,Entertainment,Gaana,680
Txn of INR 789 done at BigBasket on 03-02-2026 using UPI.,Groceries,BigBasket,789
Alert: You have spent Rs 4219 at Reliance Trends on 21-01-2026. Clear bal: Rs. 1200.00,Shopping,Reliance Trends,4219
INR 68 charged on card ending 4455 at Netflix on 05-02-2026.,Entertainment,Netflix,68
Acct XX999 debited by Rs 89 for Reliance Fresh on 16-01-2026.,Groceries,Reliance Fresh,89
Txn of INR 1744 done at Practo on 20-01-2026 using UPI.,Health,Practo,1744
UPI txn of Rs 1647 to Ajio on 11-01-2026 is successful.,Shopping,Ajio,1647
INR 2155 charged on card ending 4455 at Ajio on 07-02-2026.,Shopping,Ajio,2155
"Dear User, INR 983 spent on Amazon at 20-01-2026. Ref: 8932742.",Shopping,Amazon,983
Rs. 157 debited from a/c ending XX1234 on 27-01-2026 to Swiggy. Avl Bal: Rs 15000.,Food,Swiggy,157
Alert: You have spent Rs 117 at Haldirams on 27-01-2026. Clear bal: Rs. 1200.00,Food,Haldirams,117
UPI txn of Rs 1139 to Apollo Pharmacy on 01-02-2026 is successful.,Health,Apollo Pharmacy,1139
Alert: You have spent Rs 1418 at Cafe Coffee Day on 07-02-2026. Clear bal: Rs. 1200.00,Food,Cafe Coffee Day,1418
Txn of INR 1161 done at Pizza Hut on 06-02-2026 using UPI.,Food,Pizza Hut,1161
Acct XX999 debited by Rs 3537 for Flipkart on 12-01-2026.,Shopping,Flipkart,3537
Txn of INR 1859 done at 1mg on 02-02-2026 using UPI.,Health,1mg,1859
Rs. 3037 debited from a/c ending XX1234 on 22-01-2026 to Croma. Avl Bal: Rs 15000.,Shopping,Croma,3037
You paid Rs 1666 at Spotify via POS on 13-01-2026.,Entertainment,Spotify,1666
Alert: You have spent Rs 215 at Ola on 08-02-2026. Clear bal: Rs. 1200.00,Travel,Ola,215
Txn of INR 143 done at IndiGo on 04-02-2026 using UPI.,Travel,IndiGo,143
Txn of INR 149 done at BigBasket on 12-01-2026 using UPI.,Groceries,BigBasket,149
You paid Rs 572 at Ajio via POS on 02-02-2026.,Shopping,Ajio,572
Paid Rs 919 to Cafe Coffee Day via UPI on 18-01-2026. Txn ID: 998877.,Food,Cafe Coffee Day,919
INR 2037 charged on card ending 4455 at Zara on 19-01-2026.,Shopping,Zara,2037
Txn of INR 1249 done at Rapido on 11-01-2026 using UPI.,Travel,Rapido,1249
You paid Rs 1309 at Burger King via POS on 18-01-2026.,Food,Burger King,1309
Acct XX999 debited by Rs 214 for BookMyShow on 02-02-2026.,Entertainment,BookMyShow,214
You paid Rs 791 at Dominos via POS on 12-01-2026.,Food,Dominos,791
UPI txn of Rs 1610 to Ola on 10-01-2026 is successful.,Travel,Ola,1610
UPI txn of Rs 2158 to Croma on 12-01-2026 is successful.,Shopping,Croma,2158
Txn of INR 3008 done at Croma on 15-01-2026 using UPI.,Shopping,Croma,3008
Acct XX999 debited by Rs 1515 for Gaana on 26-01-2026.,Entertainment,Gaana,1515
"Dear User, INR 583 spent on SonyLIV at 15-01-2026. Ref: 8932742.",Entertainment,SonyLIV,583
Rs. 999 debited from a/c ending XX1234 on 08-02-2026 to Blinkit. Avl Bal: Rs 15000.,Groceries,Blinkit,999
"Dear User, INR 1872 spent on IndiGo at 16-01-2026. Ref: 8932742.",Travel,IndiGo,1872
Alert: You have spent Rs 4627 at Zara on 24-01-2026. Clear bal: Rs. 1200.00,Shopping,Zara,4627
UPI txn of Rs 666 to Ola on 06-02-2026 is successful.,Travel,Ola,666
UPI txn of Rs 1658 to Spotify on 27-01-2026 is successful.,Entertainment,Spotify,1658
Acct XX999 debited by Rs 324 for Gym Membership on 17-01-2026.,Health,Gym Membership,324
Txn of INR 1357 done at Starbucks on 28-01-2026 using UPI.,Food,Starbucks,1357
UPI txn of Rs 250 to McDonalds on 17-01-2026 is successful.,Food,McDonalds,250
Acct XX999 debited by Rs 749 for Blinkit on 25-01-2026.,Groceries,Blinkit,749
"Dear User, INR 1883 spent on Blinkit at 26-01-2026. Ref: 8932742.",Groceries,Blinkit,1883
Rs. 1391 debited from a/c ending XX1234 on 30-01-2026 to PVR. Avl Bal: Rs 15000.,Entertainment,PVR,1391
Txn of INR 169 done at McDonalds on 13-01-2026 using UPI.,Food,McDonalds,169
Alert: You have spent Rs 490 at Blinkit on 17-01-2026. Clear bal: Rs. 1200.00,Groceries,Blinkit,490
Rs. 1893 debited from a/c ending XX1234 on 09-02-2026 to Gym Membership. Avl Bal: Rs 15000.,Health,Gym Membership,1893
Alert: You have spent Rs 215 at Spotify on 14-01-2026. Clear bal: Rs. 1200.00,Entertainment,Spotify,215
UPI txn of Rs 145 to BigBasket on 20-01-2026 is successful.,Groceries,BigBasket,145
Acct XX999 debited by Rs 1375 for Gym Membership on 14-01-2026.,Health,Gym Membership,1375
You paid Rs 927 at Pizza Hut via POS on 10-01-2026.,Food,Pizza Hut,927
Acct XX999 debited by Rs 1814 for Gym Membership on 30-01-2026.,Health,Gym Membership,1814
"Dear User, INR 486 spent on Spotify at 09-02-2026. Ref: 8932742.",Entertainment,Spotify,486
Paid Rs 1502 to Gym Membership via UPI on 14-01-2026. Txn ID: 998877.,Health,Gym Membership,1502
UPI txn of Rs 79 to Prime Video on 26-01-2026 is successful.,Entertainment,Prime Video,79
INR 278 charged on card ending 4455 at Burger King on 02-02-2026.,Food,Burger King,278
INR 3249 charged on card ending 4455 at Ajio on 16-01-2026.,Shopping,Ajio,3249
Acct XX999 debited by Rs 1468 for 1mg on 18-01-2026.,Health,1mg,1468
"Dear User, INR 951 spent on Dmart at 19-01-2026. Ref: 8932742.",Groceries,Dmart,951
You paid Rs 355 at Indian Oil via POS on 28-01-2026.,Travel,Indian Oil,355
Paid Rs 473 to Metro via UPI on 01-02-2026. Txn ID: 998877.,Travel,Metro,473
UPI txn of Rs 856 to Pizza Hut on 14-01-2026 is successful.,Food,Pizza Hut,856
Acct XX999 debited by Rs 475 for Apollo Pharmacy on 05-02-2026.,Health,Apollo Pharmacy,475
Alert: You have spent Rs 180 at IndiGo on 23-01-2026. Clear bal: Rs. 1200.00,Travel,IndiGo,180
"Dear User, INR 346 spent on BigBasket at 29-01-2026. Ref: 8932742.",Groceries,BigBasket,346
Rs. 1080 debited from a/c ending XX1234 on 20-01-2026 to Blinkit. Avl Bal: Rs 15000.,Groceries,Blinkit,1080
Alert: You have spent Rs 339 at 1mg on 23-01-2026. Clear bal: Rs. 1200.00,Health,1mg,339
You paid Rs 468 at 1mg via POS on 05-02-2026.,Health,1mg,468
Acct XX999 debited by Rs 783 for Zomato on 23-01-2026.,Food,Zomato,783
"Dear User, INR 157 spent on Dmart at 24-01-2026. Ref: 8932742.",Groceries,Dmart,157
"Dear User, INR 933 spent on Reliance Fresh at 04-02-2026. Ref: 8932742.",Groceries,Reliance Fresh,933
UPI txn of Rs 199 to More Supermarket on 30-01-2026 is successful.,Groceries,More Supermarket,199
Txn of INR 1300 done at Netflix on 15-01-2026 using UPI.,Entertainment,Netflix,1300
INR 291 charged on card ending 4455 at Spotify on 22-01-2026.,Entertainment,Spotify,291
Rs. 3637 debited from a/c ending XX1234 on 25-01-2026 to Zara. Avl Bal: Rs 15000.,Shopping,Zara,3637
Paid Rs 3627 to H&M via UPI on 10-01-2026. Txn ID: 998877.,Shopping,H&M,3627
INR 2043 charged on card ending 4455 at Reliance Trends on 26-01-2026.,Shopping,Reliance Trends,2043
INR 637 charged on card ending 4455 at Hotstar on 12-01-2026.,Entertainment,Hotstar,637
Txn of INR 155 done at Shell Petrol on 22-01-2026 using UPI.,Travel,Shell Petrol,155
"Dear User, INR 1165 spent on SonyLIV at 03-02-2026. Ref: 8932742.",Entertainment,SonyLIV,1165
Alert: You have spent Rs 1429 at Gaana on 03-02-2026. Clear bal: Rs. 1200.00,Entertainment,Gaana,1429
Alert: You have spent Rs 1312 at More Supermarket on 06-02-2026. Clear bal: Rs. 1200.00,Groceries,More Supermarket,1312
"Dear User, INR 2963 spent on Ajio at 09-02-2026. Ref: 8932742.",Shopping,Ajio,2963
Paid Rs 666 to Zomato via UPI on 17-01-2026. Txn ID: 998877.,Food,Zomato,666
"Dear User, INR 1758 spent on Uber at 06-02-2026. Ref: 8932742.",Travel,Uber,1758
Alert: You have spent Rs 1425 at Swiggy on 13-01-2026. Clear bal: Rs. 1200.00,Food,Swiggy,1425
Rs. 2712 debited from a/c ending XX1234 on 16-01-2026 to Myntra. Avl Bal: Rs 15000.,Shopping,Myntra,2712
Alert: You have spent Rs 4857 at Myntra on 13-01-2026. Clear bal: Rs. 1200.00,Shopping,Myntra,4857
Paid Rs 2059 to Ajio via UPI on 26-01-2026. Txn ID: 998877.,Shopping,Ajio,2059
You paid Rs 566 at Burger King via POS on 11-01-2026.,Food,Burger King,566
Alert: You have spent Rs 1790 at SonyLIV on 25-01-2026. Clear bal: Rs. 1200.00,Entertainment,SonyLIV,1790
Paid Rs 3258 to Ajio via UPI on 13-01-2026. Txn ID: 998877.,Shopping,Ajio,3258
Txn of INR 766 done at Uber on 04-02-2026 using UPI.,Travel,Uber,766
Alert: You have spent Rs 1270 at Dmart on 18-01-2026. Clear bal: Rs. 1200.00,Groceries,Dmart,1270
UPI txn of Rs 565 to Rapido on 16-01-2026 is successful.,Travel,Rapido,565
Rs. 1439 debited from a/c ending XX1234 on 19-01-2026 to IndiGo. Avl Bal: Rs 15000.,Travel,IndiGo,1439
Acct XX999 debited by Rs 618 for Dominos on 20-01-2026.,Food,Dominos,618
UPI txn of Rs 143 to 1mg on 23-01-2026 is successful.,Health,1mg,143
You paid Rs 3200 at Ajio via POS on 29-01-2026.,Shopping,Ajio,3200
You paid Rs 528 at KFC via POS on 31-01-2026.,Food,KFC,528
You paid Rs 1182 at Ola via POS on 06-02-2026.,Travel,Ola,1182
"Dear User, INR 1088 spent on Apollo Pharmacy at 24-01-2026. Ref: 8932742.",Health,Apollo Pharmacy,1088
UPI txn of Rs 929 to Netmeds on 03-02-2026 is successful.,Health,Netmeds,929
Acct XX999 debited by Rs 505 for More Supermarket on 23-01-2026.,Groceries,More Supermarket,505
Paid Rs 848 to Subway via UPI on 11-01-2026. Txn ID: 998877.,Food,Subway,848
You paid Rs 281 at Gaana via POS on 21-01-2026.,Entertainment,Gaana,281
Paid Rs 1148 to Uber via UPI on 18-01-2026. Txn ID: 998877.,Travel,Uber,1148
"Dear User, INR 624 spent on Netflix at 29-01-2026. Ref: 8932742.",Entertainment,Netflix,624
"Dear User, INR 1347 spent on Dr Lal Pathlabs at 26-01-2026. Ref: 8932742.",Health,Dr Lal Pathlabs,1347
Alert: You have spent Rs 1818 at Reliance Fresh on 22-01-2026. Clear bal: Rs. 1200.00,Groceries,Reliance Fresh,1818
Paid Rs 1291 to Starbucks via UPI on 14-01-2026. Txn ID: 998877.,Food,Starbucks,1291
"Dear User, INR 1836 spent on Amazon at 11-01-2026. Ref: 8932742.",Shopping,Amazon,1836
Alert: You have spent Rs 439 at Practo on 02-02-2026. Clear bal: Rs. 1200.00,Health,Practo,439
Txn of INR 1490 done at Nike on 26-01-2026 using UPI.,Shopping,Nike,1490
Alert: You have spent Rs 1814 at Metro on 18-01-2026. Clear bal: Rs. 1200.00,Travel,Metro,1814
You paid Rs 776 at IndiGo via POS on 09-02-2026.,Travel,IndiGo,776
Txn of INR 1876 done at Metro on 05-02-2026 using UPI.,Travel,Metro,1876
Paid Rs 634 to Netmeds via UPI on 17-01-2026. Txn ID: 998877.,Health,Netmeds,634
Alert: You have spent Rs 1036 at IndiGo on 26-01-2026. Clear bal: Rs. 1200.00,Travel,IndiGo,1036
Acct XX999 debited by Rs 1805 for Practo on 05-02-2026.,Health,Practo,1805
Txn of INR 1744 done at Hotstar on 31-01-2026 using UPI.,Entertainment,Hotstar,1744
Paid Rs 1773 to Decathlon via UPI on 15-01-2026. Txn ID: 998877.,Shopping,Decathlon,1773
Txn of INR 349 done at Practo on 07-02-2026 using UPI.,Health,Practo,349
Txn of INR 892 done at Cafe Coffee Day on 01-02-2026 using UPI.,Food,Cafe Coffee Day,892
Acct XX999 debited by Rs 2499 for Amazon on 09-02-2026.,Shopping,Amazon,2499
"Dear User, INR 1418 spent on Reliance Fresh at 31-01-2026. Ref: 8932742.",Groceries,Reliance Fresh,1418
Acct XX999 debited by Rs 525 for IndiGo on 31-01-2026.,Travel,IndiGo,525
"Dear User, INR 1390 spent on Haldirams at 03-02-2026. Ref: 8932742.",Food,Haldirams,1390
"Dear User, INR 1262 spent on RedBus at 07-02-2026. Ref: 8932742.",Travel,RedBus,1262
UPI txn of Rs 1439 to Uber on 24-01-2026 is successful.,Travel,Uber,1439
Txn of INR 3659 done at H&M on 23-01-2026 using UPI.,Shopping,H&M,3659
INR 1126 charged on card ending 4455 at Hotstar on 31-01-2026.,Entertainment,Hotstar,1126
Alert: You have spent Rs 1587 at Apollo Pharmacy on 27-01-2026. Clear bal: Rs. 1200.00,Health,Apollo Pharmacy,1587
Paid Rs 941 to Rapido via UPI on 14-01-2026. Txn ID: 998877.,Travel,Rapido,941
Paid Rs 4017 to Croma via UPI on 22-01-2026. Txn ID: 998877.,Shopping,Croma,4017
UPI txn of Rs 611 to Reliance Fresh on 06-02-2026 is successful.,Groceries,Reliance Fresh,611
Paid Rs 556 to Gaana via UPI on 18-01-2026. Txn ID: 998877.,Entertainment,Gaana,556
Acct XX999 debited by Rs 290 for Zomato on 10-01-2026.,Food,Zomato,290
INR 778 charged on card ending 4455 at Burger King on 25-01-2026.,Food,Burger King,778
UPI txn of Rs 1867 to Practo on 29-01-2026 is successful.,Health,Practo,1867
You paid Rs 1529 at Apollo Pharmacy via POS on 05-02-2026.,Health,Apollo Pharmacy,1529
You paid Rs 1811 at Shell Petrol via POS on 09-02-2026.,Travel,Shell Petrol,1811
Rs. 1097 debited from a/c ending XX1234 on 14-01-2026 to H&M. Avl Bal: Rs 15000.,Shopping,H&M,1097
INR 2244 charged on card ending 4455 at Reliance Trends on 30-01-2026.,Shopping,Reliance Trends,2244
Rs. 4751 debited from a/c ending XX1234 on 16-01-2026 to Croma. Avl Bal: Rs 15000.,Shopping,Croma,4751
Rs. 2026 debited from a/c ending XX1234 on 18-01-2026 to Flipkart. Avl Bal: Rs 15000.,Shopping,Flipkart,2026
INR 76 charged on card ending 4455 at Netflix on 05-02-2026.,Entertainment,Netflix,76
Acct XX999 debited by Rs 932 for Blinkit on 16-01-2026.,Groceries,Blinkit,932
UPI txn of Rs 339 to Prime Video on 15-01-2026 is successful.,Entertainment,Prime Video,339
Txn of INR 1308 done at RedBus on 15-01-2026 using UPI.,Travel,RedBus,1308
Acct XX999 debited by Rs 2469 for Nike on 23-01-2026.,Shopping,Nike,2469
"Dear User, INR 792 spent on Dmart at 15-01-2026. Ref: 8932742.",Groceries,Dmart,792
Paid Rs 1744 to Spencers via UPI on 18-01-2026. Txn ID: 998877.,Groceries,Spencers,1744
Paid Rs 223 to Subway via UPI on 29-01-2026. Txn ID: 998877.,Food,Subway,223
Paid Rs 3641 to Nike via UPI on 25-01-2026. Txn ID: 998877.,Shopping,Nike,3641
INR 740 charged on card ending 4455 at Reliance Fresh on 03-02-2026.,Groceries,Reliance Fresh,740
Acct XX999 debited by Rs 959 for Spencers on 02-02-2026.,Groceries,Spencers,959
Rs. 1917 debited from a/c ending XX1234 on 15-01-2026 to Hotstar. Avl Bal: Rs 15000.,Entertainment,Hotstar,1917
Alert: You have spent Rs 1787 at Decathlon on 20-01-2026. Clear bal: Rs. 1200.00,Shopping,Decathlon,1787
Rs. 2550 debited from a/c ending XX1234 on 28-01-2026 to Reliance Trends. Avl Bal: Rs 15000.,Shopping,Reliance Trends,2550
Rs. 800 debited from a/c ending XX1234 on 09-02-2026 to Burger King. Avl Bal: Rs 15000.,Food,Burger King,800
You paid Rs 1014 at Spencers via POS on 20-01-2026.,Groceries,Spencers,1014
Acct XX999 debited by Rs 478 for PVR on 31-01-2026.,Entertainment,PVR,478
Paid Rs 990 to SonyLIV via UPI on 03-02-2026. Txn ID: 998877.,Entertainment,SonyLIV,990
"Dear User, INR 4049 spent on Croma at 09-02-2026. Ref: 8932742.",Shopping,Croma,4049
Txn of INR 1262 done at Haldirams on 09-02-2026 using UPI.,Food,Haldirams,1262
You paid Rs 355 at Spotify via POS on 29-01-2026.,Entertainment,Spotify,355
UPI txn of Rs 122 to KFC on 23-01-2026 is successful.,Food,KFC,122
You paid Rs 363 at Gaana via POS on 03-02-2026.,Entertainment,Gaana,363
INR 657 charged on card ending 4455 at Rapido on 11-01-2026.,Travel,Rapido,657
Acct XX999 debited by Rs 4708 for Zara on 27-01-2026.,Shopping,Zara,4708
UPI txn of Rs 779 to Dominos on 11-01-2026 is successful.,Food,Dominos,779
Txn of INR 98 done at Spotify on 18-01-2026 using UPI.,Entertainment,Spotify,98
Acct XX999 debited by Rs 1670 for Dmart on 08-02-2026.,Groceries,Dmart,1670
Paid Rs 986 to Blinkit via UPI on 28-01-2026. Txn ID: 998877.,Groceries,Blinkit,986
Paid Rs 1796 to Reliance Fresh via UPI on 06-02-2026. Txn ID: 998877.,Groceries,Reliance Fresh,1796
Txn of INR 1098 done at PVR on 13-01-2026 using UPI.,Entertainment,PVR,1098
INR 719 charged on card ending 4455 at Apollo Pharmacy on 30-01-2026.,Health,Apollo Pharmacy,719
Acct XX999 debited by Rs 916 for Burger King on 26-01-2026.,Food,Burger King,916
Txn of INR 1171 done at Reliance Fresh on 01-02-2026 using UPI.,Groceries,Reliance Fresh,1171
Paid Rs 254 to PVR via UPI on 03-02-2026. Txn ID: 998877.,Entertainment,PVR,254
Acct XX999 debited by Rs 1463 for BigBasket on 28-01-2026.,Groceries,BigBasket,1463
INR 3995 charged on card ending 4455 at Nike on 30-01-2026.,Shopping,Nike,3995
"Dear User, INR 713 spent on Rapido at 20-01-2026. Ref: 8932742.",Travel,Rapido,713
"Dear User, INR 1633 spent on Gaana at 25-01-2026. Ref: 8932742.",Entertainment,Gaana,1633
Acct XX999 debited by Rs 1486 for Uber on 28-01-2026.,Travel,Uber,1486
"Dear User, INR 675 spent on Zara at 20-01-2026. Ref: 8932742.",Shopping,Zara,675
Txn of INR 660 done at More Supermarket on 14-01-2026 using UPI.,Groceries,More Supermarket,660
Paid Rs 1924 to Prime Video via UPI on 05-02-2026. Txn ID: 998877.,Entertainment,Prime Video,1924
Txn of INR 521 done at SpiceJet on 02-02-2026 using UPI.,Travel,SpiceJet,521
UPI txn of Rs 1389 to Starbucks on 14-01-2026 is successful.,Food,Starbucks,1389
Rs. 1476 debited from a/c ending XX1234 on 24-01-2026 to BigBasket. Avl Bal: Rs 15000.,Groceries,BigBasket,1476
Rs. 1148 debited from a/c ending XX1234 on 19-01-2026 to Cafe Coffee Day. Avl Bal: Rs 15000.,Food,Cafe Coffee Day,1148
Paid Rs 478 to McDonalds via UPI on 08-02-2026. Txn ID: 998877.,Food,McDonalds,478
Paid Rs 910 to RedBus via UPI on 16-01-2026. Txn ID: 998877.,Travel,RedBus,910
Rs. 1640 debited from a/c ending XX1234 on 16-01-2026 to Netmeds. Avl Bal: Rs 15000.,Health,Netmeds,1640
Rs. 4038 debited from a/c ending XX1234 on 19-01-2026 to Zara. Avl Bal: Rs 15000.,Shopping,Zara,4038
Txn of INR 1049 done at Prime Video on 13-01-2026 using UPI.,Entertainment,Prime Video,1049
INR 4678 charged on card ending 4455 at Croma on 20-01-2026.,Shopping,Croma,4678
Rs. 398 debited from a/c ending XX1234 on 12-01-2026 to Starbucks. Avl Bal: Rs 15000.,Food,Starbucks,398
UPI txn of Rs 1099 to Spencers on 19-01-2026 is successful.,Groceries,Spencers,1099
"Dear User, INR 1999 spent on Rapido at 30-01-2026. Ref: 8932742.",Travel,Rapido,1999
Rs. 1391 debited from a/c ending XX1234 on 13-01-2026 to Apollo Pharmacy. Avl Bal: Rs 15000.,Health,Apollo Pharmacy,1391
Alert: You have spent Rs 3638 at Reliance Trends on 14-01-2026. Clear bal: Rs. 1200.00,Shopping,Reliance Trends,3638
"Dear User, INR 1962 spent on 1mg at 30-01-2026. Ref: 8932742.",Health,1mg,1962
"Dear User, INR 806 spent on Cafe Coffee Day at 26-01-2026. Ref: 8932742.",Food,Cafe Coffee Day,806
Acct XX999 debited by Rs 1524 for IRCTC on 20-01-2026.,Travel,IRCTC,1524
INR 512 charged on card ending 4455 at 1mg on 04-02-2026.,Health,1mg,512
Txn of INR 1411 done at Spencers on 20-01-2026 using UPI.,Groceries,Spencers,1411
Rs. 1602 debited from a/c ending XX1234 on 13-01-2026 to Rapido. Avl Bal: Rs 15000.,Travel,Rapido,1602
INR 1341 charged on card ending 4455 at Apollo Pharmacy on 07-02-2026.,Health,Apollo Pharmacy,1341
Txn of INR 1519 done at SpiceJet on 07-02-2026 using UPI.,Travel,SpiceJet,1519
Paid Rs 1872 to More Supermarket via UPI on 02-02-2026. Txn ID: 998877.,Groceries,More Supermarket,1872
"Dear User, INR 1952 spent on Rapido at 13-01-2026. Ref: 8932742.",Travel,Rapido,1952
Acct XX999 debited by Rs 1462 for Haldirams on 09-02-2026.,Food,Haldirams,1462
"Dear User, INR 441 spent on Shell Petrol at 09-02-2026. Ref: 8932742.",Travel,Shell Petrol,441
Alert: You have spent Rs 1090 at Amazon on 05-02-2026. Clear bal: Rs. 1200.00,Shopping,Amazon,1090
Paid Rs 441 to Prime Video via UPI on 28-01-2026. Txn ID: 998877.,Entertainment,Prime Video,441
"Dear User, INR 426 spent on Metro at 02-02-2026. Ref: 8932742.",Travel,Metro,426
UPI txn of Rs 1172 to Haldirams on 13-01-2026 is successful.,Food,Haldirams,1172
"Dear User, INR 987 spent on 1mg at 18-01-2026. Ref: 8932742.",Health,1mg,987
Alert: You have spent Rs 65 at Spotify on 01-02-2026. Clear bal: Rs. 1200.00,Entertainment,Spotify,65
UPI txn of Rs 593 to Blinkit on 01-02-2026 is successful.,Groceries,Blinkit,593
"Dear User, INR 620 spent on Starbucks at 31-01-2026. Ref: 8932742.",Food,Starbucks,620
You paid Rs 3862 at Myntra via POS on 08-02-2026.,Shopping,Myntra,3862
You paid Rs 1384 at Swiggy via POS on 16-01-2026.,Food,Swiggy,1384
You paid Rs 1903 at Decathlon via POS on 24-01-2026.,Shopping,Decathlon,1903
INR 994 charged on card ending 4455 at Starbucks on 26-01-2026.,Food,Starbucks,994
UPI txn of Rs 902 to RedBus on 12-01-2026 is successful.,Travel,RedBus,902
Acct XX999 debited by Rs 506 for Nike on 18-01-2026.,Shopping,Nike,506
Paid Rs 1897 to Spotify via UPI on 01-02-2026. Txn ID: 998877.,Entertainment,Spotify,1897
You paid Rs 2267 at Ajio via POS on 01-02-2026.,Shopping,Ajio,2267
Acct XX999 debited by Rs 151 for BookMyShow on 27-01-2026.,Entertainment,BookMyShow,151
Alert: You have spent Rs 1049 at Flipkart on 24-01-2026. Clear bal: Rs. 1200.00,Shopping,Flipkart,1049
Paid Rs 508 to IndiGo via UPI on 10-01-2026. Txn ID: 998877.,Travel,IndiGo,508
"Dear User, INR 4023 spent on H&M at 27-01-2026. Ref: 8932742.",Shopping,H&M,4023
Alert: You have spent Rs 715 at Gaana on 27-01-2026. Clear bal: Rs. 1200.00,Entertainment,Gaana,715
