amount,merchant,date,original_text,true_category
1698,Gym Membership,15-01-2026,Alert: You have spent Rs 1698 at Gym Membership on 15-01-2026. Clear bal: Rs. 1200.00,Health
1033,Dr Lal P,23-01-2026,"Dear User, INR 1033 spent on Dr Lal Pathlabs at 23-01-2026. Ref: 8932742.",Health
1256,S,16-01-2026,Alert: You have spent Rs 1256 at SonyLIV on 16-01-2026. Clear bal: Rs. 1200.00,Entertainment
1957,Apollo Pharmacy,16-01-2026,Alert: You have spent Rs 1957 at Apollo Pharmacy on 16-01-2026. Clear bal: Rs. 1200.00,Health
154,IRCTC,12-01-2026,Acct XX999 debited by Rs 154 for IRCTC on 12-01-2026.,Travel
3364,Ajio,29-01-2026,Txn of INR 3364 done at Ajio on 29-01-2026 using UPI.,Shopping
1285,SpiceJet,08-02-2026,UPI txn of Rs 1285 to SpiceJet on 08-02-2026 is successful.,Travel
1764,RedBus,28-01-2026,You paid Rs 1764 at RedBus via POS on 28-01-2026.,Travel
691,S,23-01-2026,UPI txn of Rs 691 to SonyLIV on 23-01-2026 is successful.,Entertainment
1438,Blinkit,20-01-2026,You paid Rs 1438 at Blinkit via POS on 20-01-2026.,Groceries
396,Netmeds,05-02-2026,"Dear User, INR 396 spent on Netmeds at 05-02-2026. Ref: 8932742.",Health
1517,Dr Lal P,03-02-2026,Txn of INR 1517 done at Dr Lal Pathlabs on 03-02-2026 using UPI.,Health
1244,PVR,04-02-2026,Acct XX999 debited by Rs 1244 for PVR on 04-02-2026.,Entertainment
1004,SpiceJet,22-01-2026,Alert: You have spent Rs 1004 at SpiceJet on 22-01-2026. Clear bal: Rs. 1200.00,Travel
1619,Hotstar,17-01-2026,Txn of INR 1619 done at Hotstar on 17-01-2026 using UPI.,Entertainment
1890,Shell Petrol,11-01-2026,"Dear User, INR 1890 spent on Shell Petrol at 11-01-2026. Ref: 8932742.",Travel
637,23-01-2026 to Netflix,23-01-2026,Rs. 637 debited from a/c ending XX1234 on 23-01-2026 to Netflix. Avl Bal: Rs 15000.,Entertainment
1192,Haldirams,25-01-2026,Alert: You have spent Rs 1192 at Haldirams on 25-01-2026. Clear bal: Rs. 1200.00,Food
450,14-01-2026 to Pizza Hut,14-01-2026,Rs. 450 debited from a/c ending XX1234 on 14-01-2026 to Pizza Hut. Avl Bal: Rs 15000.,Food
1375,Metro,25-01-2026,Alert: You have spent Rs 1375 at Metro on 25-01-2026. Clear bal: Rs. 1200.00,Travel
1400,card ending 4455,22-01-2026,INR 1400 charged on card ending 4455 at Swiggy on 22-01-2026.,Food
2850,Nike,10-01-2026,Txn of INR 2850 done at Nike on 10-01-2026 using UPI.,Shopping
466,Dmart,05-02-2026,Txn of INR 466 done at Dmart on 05-02-2026 using UPI.,Groceries
1420,21-01-2026 to Pizza Hut,21-01-2026,Rs. 1420 debited from a/c ending XX1234 on 21-01-2026 to Pizza Hut. Avl Bal: Rs 15000.,Food
825,Metro,14-01-2026,Alert: You have spent Rs 825 at Metro on 14-01-2026. Clear bal: Rs. 1200.00,Travel
392,SpiceJet,30-01-2026,Paid Rs 392 to SpiceJet via UPI on 30-01-2026. Txn ID: 998877.,Travel
1737,IRCTC,09-02-2026,Paid Rs 1737 to IRCTC via UPI on 09-02-2026. Txn ID: 998877.,Travel
521,Haldirams,12-01-2026,UPI txn of Rs 521 to Haldirams on 12-01-2026 is successful.,Food
4371,Zara,24-01-2026,UPI txn of Rs 4371 to Zara on 24-01-2026 is successful.,Shopping
1271,1mg,05-02-2026,UPI txn of Rs 1271 to 1mg on 05-02-2026 is successful.,Health
299,KFC,26-01-2026,Txn of INR 299 done at KFC on 26-01-2026 using UPI.,Food
1683,Prime Video,29-01-2026,Paid Rs 1683 to Prime Video via UPI on 29-01-2026. Txn ID: 998877.,Entertainment
495,IndiGo,12-01-2026,Acct XX999 debited by Rs 495 for IndiGo on 12-01-2026.,Travel
1804,Spotify,17-01-2026,You paid Rs 1804 at Spotify via POS on 17-01-2026.,Entertainment
742,Ajio,12-01-2026,UPI txn of Rs 742 to Ajio on 12-01-2026 is successful.,Shopping
1437,Blinkit,06-02-2026,Paid Rs 1437 to Blinkit via UPI on 06-02-2026. Txn ID: 998877.,Groceries
288,Hotstar,07-02-2026,Txn of INR 288 done at Hotstar on 07-02-2026 using UPI.,Entertainment
2840,Zara,30-01-2026,You paid Rs 2840 at Zara via POS on 30-01-2026.,Shopping
2854,Ajio,08-02-2026,Paid Rs 2854 to Ajio via UPI on 08-02-2026. Txn ID: 998877.,Shopping
1338,Netmeds,09-02-2026,"Dear User, INR 1338 spent on Netmeds at 09-02-2026. Ref: 8932742.",Health
1347,1mg,25-01-2026,Alert: You have spent Rs 1347 at 1mg on 25-01-2026. Clear bal: Rs. 1200.00,Health
1086,card ending 4455,11-01-2026,INR 1086 charged on card ending 4455 at Rapido on 11-01-2026.,Travel
905,04-02-2026 to Gaana,04-02-2026,Rs. 905 debited from a/c ending XX1234 on 04-02-2026 to Gaana. Avl Bal: Rs 15000.,Entertainment
1524,Amaz,24-01-2026,UPI txn of Rs 1524 to Amazon on 24-01-2026 is successful.,Shopping
1019,S,11-01-2026,You paid Rs 1019 at SonyLIV via POS on 11-01-2026.,Entertainment
1277,07-02-2026 to Blinkit,07-02-2026,Rs. 1277 debited from a/c ending XX1234 on 07-02-2026 to Blinkit. Avl Bal: Rs 15000.,Groceries
1300,IRCTC,09-02-2026,You paid Rs 1300 at IRCTC via POS on 09-02-2026.,Travel
994,Croma,25-01-2026,Acct XX999 debited by Rs 994 for Croma on 25-01-2026.,Shopping
384,Burger King,01-02-2026,You paid Rs 384 at Burger King via POS on 01-02-2026.,Food
1451,Swiggy,30-01-2026,Txn of INR 1451 done at Swiggy on 30-01-2026 using UPI.,Food
1343,Spencers,30-01-2026,UPI txn of Rs 1343 to Spencers on 30-01-2026 is successful.,Groceries
1336,KFC,13-01-2026,Paid Rs 1336 to KFC via UPI on 13-01-2026. Txn ID: 998877.,Food
1469,Starbucks,29-01-2026,Alert: You have spent Rs 1469 at Starbucks on 29-01-2026. Clear bal: Rs. 1200.00,Food
3858,Nike,12-01-2026,UPI txn of Rs 3858 to Nike on 12-01-2026 is successful.,Shopping
1154,Dominos,07-02-2026,Acct XX999 debited by Rs 1154 for Dominos on 07-02-2026.,Food
4956,Flipkart,04-02-2026,Txn of INR 4956 done at Flipkart on 04-02-2026 using UPI.,Shopping
1700,Dmart,04-02-2026,You paid Rs 1700 at Dmart via POS on 04-02-2026.,Groceries
787,card ending 4455,14-01-2026,INR 787 charged on card ending 4455 at Reliance Fresh on 14-01-2026.,Groceries
277,Dmart,29-01-2026,UPI txn of Rs 277 to Dmart on 29-01-2026 is successful.,Groceries
898,20-01-2026 to Subway,20-01-2026,Rs. 898 debited from a/c ending XX1234 on 20-01-2026 to Subway. Avl Bal: Rs 15000.,Food
72,IRCTC,13-01-2026,Acct XX999 debited by Rs 72 for IRCTC on 13-01-2026.,Travel
1834,Apollo Pharmacy,21-01-2026,Paid Rs 1834 to Apollo Pharmacy via UPI on 21-01-2026. Txn ID: 998877.,Health
3623,Croma,10-01-2026,Acct XX999 debited by Rs 3623 for Croma on 10-01-2026.,Shopping
352,RedBus,21-01-2026,"Dear User, INR 352 spent on RedBus at 21-01-2026. Ref: 8932742.",Travel
2869,23-01-2026 to Dec,23-01-2026,Rs. 2869 debited from a/c ending XX1234 on 23-01-2026 to Decathlon. Avl Bal: Rs 15000.,Shopping
4279,Flipkart,22-01-2026,UPI txn of Rs 4279 to Flipkart on 22-01-2026 is successful.,Shopping
1070,Dr Lal P,16-01-2026,You paid Rs 1070 at Dr Lal Pathlabs via POS on 16-01-2026.,Health
326,Reliance Fresh,31-01-2026,You paid Rs 326 at Reliance Fresh via POS on 31-01-2026.,Groceries
931,Reliance Trends,24-01-2026,"Dear User, INR 931 spent on Reliance Trends at 24-01-2026. Ref: 8932742.",Shopping
1709,S,21-01-2026,Alert: You have spent Rs 1709 at SonyLIV on 21-01-2026. Clear bal: Rs. 1200.00,Entertainment
1652,Gym Membership,09-02-2026,You paid Rs 1652 at Gym Membership via POS on 09-02-2026.,Health
1062,29-01-2026 to H&M,29-01-2026,Rs. 1062 debited from a/c ending XX1234 on 29-01-2026 to H&M. Avl Bal: Rs 15000.,Shopping
483,10-01-2026 to Dmart,10-01-2026,Rs. 483 debited from a/c ending XX1234 on 10-01-2026 to Dmart. Avl Bal: Rs 15000.,Groceries
1019,IndiGo,12-01-2026,You paid Rs 1019 at IndiGo via POS on 12-01-2026.,Travel
1339,card ending 4455,30-01-2026,INR 1339 charged on card ending 4455 at Apollo Pharmacy on 30-01-2026.,Health
4430,Flipkart,25-01-2026,You paid Rs 4430 at Flipkart via POS on 25-01-2026.,Shopping
1629,19-01-2026 to Reliance Fresh,19-01-2026,Rs. 1629 debited from a/c ending XX1234 on 19-01-2026 to Reliance Fresh. Avl Bal: Rs 15000.,Groceries
874,Apollo Pharmacy,27-01-2026,You paid Rs 874 at Apollo Pharmacy via POS on 27-01-2026.,Health
118,RedBus,25-01-2026,"Dear User, INR 118 spent on RedBus at 25-01-2026. Ref: 8932742.",Travel
1142,More Supermarket,02-02-2026,You paid Rs 1142 at More Supermarket via POS on 02-02-2026.,Groceries
1395,RedBus,11-01-2026,Paid Rs 1395 to RedBus via UPI on 11-01-2026. Txn ID: 998877.,Travel
1032,Netflix,22-01-2026,Alert: You have spent Rs 1032 at Netflix on 22-01-2026. Clear bal: Rs. 1200.00,Entertainment
1274,More Supermarket,24-01-2026,Alert: You have spent Rs 1274 at More Supermarket on 24-01-2026. Clear bal: Rs. 1200.00,Groceries
210,Spotify,20-01-2026,Acct XX999 debited by Rs 210 for Spotify on 20-01-2026.,Entertainment
1594,Netflix,11-01-2026,Alert: You have spent Rs 1594 at Netflix on 11-01-2026. Clear bal: Rs. 1200.00,Entertainment
721,Apollo Pharmacy,10-01-2026,UPI txn of Rs 721 to Apollo Pharmacy on 10-01-2026 is successful.,Health
1578,Ola,03-02-2026,UPI txn of Rs 1578 to Ola on 03-02-2026 is successful.,Travel
942,Reliance Fresh,25-01-2026,Alert: You have spent Rs 942 at Reliance Fresh on 25-01-2026. Clear bal: Rs. 1200.00,Groceries
1360,card ending 4455,28-01-2026,INR 1360 charged on card ending 4455 at Burger King on 28-01-2026.,Food
1200,Reliance Fresh,25-01-2026,Txn of INR 1200 done at Reliance Fresh on 25-01-2026 using UPI.,Groceries
424,Prime Video,03-02-2026,You paid Rs 424 at Prime Video via POS on 03-02-2026.,Entertainment
252,Netmeds,13-01-2026,Txn of INR 252 done at Netmeds on 13-01-2026 using UPI.,Health
426,card ending 4455,05-02-2026,INR 426 charged on card ending 4455 at Dominos on 05-02-2026.,Food
256,Indian Oil,02-02-2026,"Dear User, INR 256 spent on Indian Oil at 02-02-2026. Ref: 8932742.",Travel
3012,23-01-2026 to Amaz,23-01-2026,Rs. 3012 debited from a/c ending XX1234 on 23-01-2026 to Amazon. Avl Bal: Rs 15000.,Shopping
325,IndiGo,09-02-2026,You paid Rs 325 at IndiGo via POS on 09-02-2026.,Travel
4739,Dec,08-02-2026,Paid Rs 4739 to Decathlon via UPI on 08-02-2026. Txn ID: 998877.,Shopping
1349,10-01-2026 to RedBus,10-01-2026,Rs. 1349 debited from a/c ending XX1234 on 10-01-2026 to RedBus. Avl Bal: Rs 15000.,Travel
897,BookMyShow,13-01-2026,You paid Rs 897 at BookMyShow via POS on 13-01-2026.,Entertainment
590,Blinkit,29-01-2026,Txn of INR 590 done at Blinkit on 29-01-2026 using UPI.,Groceries
461,Blinkit,13-01-2026,UPI txn of Rs 461 to Blinkit on 13-01-2026 is successful.,Groceries
324,Uber,05-02-2026,Alert: You have spent Rs 324 at Uber on 05-02-2026. Clear bal: Rs. 1200.00,Travel
1104,Spotify,01-02-2026,Paid Rs 1104 to Spotify via UPI on 01-02-2026. Txn ID: 998877.,Entertainment
652,BookMyShow,01-02-2026,UPI txn of Rs 652 to BookMyShow on 01-02-2026 is successful.,Entertainment
1661,PVR,22-01-2026,UPI txn of Rs 1661 to PVR on 22-01-2026 is successful.,Entertainment
657,McD,29-01-2026,UPI txn of Rs 657 to McDonalds on 29-01-2026 is successful.,Food
1648,card ending 4455,08-02-2026,INR 1648 charged on card ending 4455 at SonyLIV on 08-02-2026.,Entertainment
469,1mg,21-01-2026,Acct XX999 debited by Rs 469 for 1mg on 21-01-2026.,Health
1912,Apollo Pharmacy,18-01-2026,Txn of INR 1912 done at Apollo Pharmacy on 18-01-2026 using UPI.,Health
840,16-01-2026 to Reliance Trends,16-01-2026,Rs. 840 debited from a/c ending XX1234 on 16-01-2026 to Reliance Trends. Avl Bal: Rs 15000.,Shopping
4740,Nike,02-02-2026,UPI txn of Rs 4740 to Nike on 02-02-2026 is successful.,Shopping
561,card ending 4455,21-01-2026,INR 561 charged on card ending 4455 at Gym Membership on 21-01-2026.,Health
434,Netmeds,21-01-2026,Txn of INR 434 done at Netmeds on 21-01-2026 using UPI.,Health
1120,SpiceJet,12-01-2026,Alert: You have spent Rs 1120 at SpiceJet on 12-01-2026. Clear bal: Rs. 1200.00,Travel
2888,12-01-2026 to H&M,12-01-2026,Rs. 2888 debited from a/c ending XX1234 on 12-01-2026 to H&M. Avl Bal: Rs 15000.,Shopping
962,Netflix,25-01-2026,You paid Rs 962 at Netflix via POS on 25-01-2026.,Entertainment
1904,RedBus,03-02-2026,You paid Rs 1904 at RedBus via POS on 03-02-2026.,Travel
1084,Burger King,14-01-2026,UPI txn of Rs 1084 to Burger King on 14-01-2026 is successful.,Food
1717,Reliance Fresh,20-01-2026,Acct XX999 debited by Rs 1717 for Reliance Fresh on 20-01-2026.,Groceries
174,Burger King,21-01-2026,"Dear User, INR 174 spent on Burger King at 21-01-2026. Ref: 8932742.",Food
134,24-01-2026 to Gym Membership,24-01-2026,Rs. 134 debited from a/c ending XX1234 on 24-01-2026 to Gym Membership. Avl Bal: Rs 15000.,Health
942,Dominos,16-01-2026,"Dear User, INR 942 spent on Dominos at 16-01-2026. Ref: 8932742.",Food
1469,card ending 4455,28-01-2026,INR 1469 charged on card ending 4455 at Uber on 28-01-2026.,Travel
1915,Prime Video,27-01-2026,"Dear User, INR 1915 spent on Prime Video at 27-01-2026. Ref: 8932742.",Entertainment
428,BigBasket,21-01-2026,UPI txn of Rs 428 to BigBasket on 21-01-2026 is successful.,Groceries
1845,BigBasket,20-01-2026,Txn of INR 1845 done at BigBasket on 20-01-2026 using UPI.,Groceries
1265,card ending 4455,02-02-2026,INR 1265 charged on card ending 4455 at Apollo Pharmacy on 02-02-2026.,Health
446,PVR,15-01-2026,Txn of INR 446 done at PVR on 15-01-2026 using UPI.,Entertainment
225,Netmeds,18-01-2026,Acct XX999 debited by Rs 225 for Netmeds on 18-01-2026.,Health
1257,Dr Lal P,03-02-2026,"Dear User, INR 1257 spent on Dr Lal Pathlabs at 03-02-2026. Ref: 8932742.",Health
1702,1mg,29-01-2026,Paid Rs 1702 to 1mg via UPI on 29-01-2026. Txn ID: 998877.,Health
2470,Flipkart,16-01-2026,You paid Rs 2470 at Flipkart via POS on 16-01-2026.,Shopping
249,Spotify,26-01-2026,Paid Rs 249 to Spotify via UPI on 26-01-2026. Txn ID: 998877.,Entertainment
1247,BigBasket,05-02-2026,"Dear User, INR 1247 spent on BigBasket at 05-02-2026. Ref: 8932742.",Groceries
3445,Reliance Trends,29-01-2026,"Dear User, INR 3445 spent on Reliance Trends at 29-01-2026. Ref: 8932742.",Shopping
2637,19-01-2026 to Myntra,19-01-2026,Rs. 2637 debited from a/c ending XX1234 on 19-01-2026 to Myntra. Avl Bal: Rs 15000.,Shopping
1821,Practo,16-01-2026,UPI txn of Rs 1821 to Practo on 16-01-2026 is successful.,Health
1055,Uber,10-01-2026,Txn of INR 1055 done at Uber on 10-01-2026 using UPI.,Travel
1630,Dr Lal P,09-02-2026,Acct XX999 debited by Rs 1630 for Dr Lal Pathlabs on 09-02-2026.,Health
623,Cafe Coffee Day,10-01-2026,Txn of INR 623 done at Cafe Coffee Day on 10-01-2026 using UPI.,Food
1381,More Supermarket,22-01-2026,Txn of INR 1381 done at More Supermarket on 22-01-2026 using UPI.,Groceries
1009,Starbucks,25-01-2026,You paid Rs 1009 at Starbucks via POS on 25-01-2026.,Food
1453,Netflix,03-02-2026,Txn of INR 1453 done at Netflix on 03-02-2026 using UPI.,Entertainment
1094,Prime Video,14-01-2026,UPI txn of Rs 1094 to Prime Video on 14-01-2026 is successful.,Entertainment
660,card ending 4455,10-01-2026,INR 660 charged on card ending 4455 at Gym Membership on 10-01-2026.,Health
905,Nike,10-01-2026,Paid Rs 905 to Nike via UPI on 10-01-2026. Txn ID: 998877.,Shopping
4601,Nike,30-01-2026,Paid Rs 4601 to Nike via UPI on 30-01-2026. Txn ID: 998877.,Shopping
1307,Netmeds,03-02-2026,You paid Rs 1307 at Netmeds via POS on 03-02-2026.,Health
2089,Zara,05-02-2026,Alert: You have spent Rs 2089 at Zara on 05-02-2026. Clear bal: Rs. 1200.00,Shopping
1236,07-02-2026 to 1mg,07-02-2026,Rs. 1236 debited from a/c ending XX1234 on 07-02-2026 to 1mg. Avl Bal: Rs 15000.,Health
895,Pizza Hut,09-02-2026,You paid Rs 895 at Pizza Hut via POS on 09-02-2026.,Food
1666,Blinkit,15-01-2026,Paid Rs 1666 to Blinkit via UPI on 15-01-2026. Txn ID: 998877.,Groceries
1398,card ending 4455,14-01-2026,INR 1398 charged on card ending 4455 at Gaana on 14-01-2026.,Entertainment
282,card ending 4455,22-01-2026,INR 282 charged on card ending 4455 at PVR on 22-01-2026.,Entertainment
1328,20-01-2026 to Hotstar,20-01-2026,Rs. 1328 debited from a/c ending XX1234 on 20-01-2026 to Hotstar. Avl Bal: Rs 15000.,Entertainment
496,Prime Video,14-01-2026,Paid Rs 496 to Prime Video via UPI on 14-01-2026. Txn ID: 998877.,Entertainment
786,Dr Lal P,07-02-2026,Acct XX999 debited by Rs 786 for Dr Lal Pathlabs on 07-02-2026.,Health
1414,15-01-2026 to BigBasket,15-01-2026,Rs. 1414 debited from a/c ending XX1234 on 15-01-2026 to BigBasket. Avl Bal: Rs 15000.,Groceries
1157,09-02-2026 to RedBus,09-02-2026,Rs. 1157 debited from a/c ending XX1234 on 09-02-2026 to RedBus. Avl Bal: Rs 15000.,Travel
1088,card ending 4455,27-01-2026,INR 1088 charged on card ending 4455 at Practo on 27-01-2026.,Health
1809,PVR,15-01-2026,Paid Rs 1809 to PVR via UPI on 15-01-2026. Txn ID: 998877.,Entertainment
1940,Netflix,03-02-2026,You paid Rs 1940 at Netflix via POS on 03-02-2026.,Entertainment
421,Practo,14-01-2026,Acct XX999 debited by Rs 421 for Practo on 14-01-2026.,Health
1533,Apollo Pharmacy,29-01-2026,You paid Rs 1533 at Apollo Pharmacy via POS on 29-01-2026.,Health
1640,Dr Lal P,21-01-2026,UPI txn of Rs 1640 to Dr Lal Pathlabs on 21-01-2026 is successful.,Health
725,BookMyShow,03-02-2026,UPI txn of Rs 725 to BookMyShow on 03-02-2026 is successful.,Entertainment
1168,More Supermarket,23-01-2026,Alert: You have spent Rs 1168 at More Supermarket on 23-01-2026. Clear bal: Rs. 1200.00,Groceries
614,IndiGo,14-01-2026,Acct XX999 debited by Rs 614 for IndiGo on 14-01-2026.,Travel
1625,Amaz,25-01-2026,Acct XX999 debited by Rs 1625 for Amazon on 25-01-2026.,Shopping
676,Netmeds,05-02-2026,Paid Rs 676 to Netmeds via UPI on 05-02-2026. Txn ID: 998877.,Health
1477,card ending 4455,23-01-2026,INR 1477 charged on card ending 4455 at Metro on 23-01-2026.,Travel
1048,Spencers,30-01-2026,Alert: You have spent Rs 1048 at Spencers on 30-01-2026. Clear bal: Rs. 1200.00,Groceries
476,Starbucks,01-02-2026,Txn of INR 476 done at Starbucks on 01-02-2026 using UPI.,Food
1557,card ending 4455,06-02-2026,INR 1557 charged on card ending 4455 at Dr Lal Pathlabs on 06-02-2026.,Health
128,Haldirams,20-01-2026,You paid Rs 128 at Haldirams via POS on 20-01-2026.,Food
227,10-01-2026 to Gaana,10-01-2026,Rs. 227 debited from a/c ending XX1234 on 10-01-2026 to Gaana. Avl Bal: Rs 15000.,Entertainment
1492,card ending 4455,11-01-2026,INR 1492 charged on card ending 4455 at Prime Video on 11-01-2026.,Entertainment
702,card ending 4455,11-01-2026,INR 702 charged on card ending 4455 at Metro on 11-01-2026.,Travel
1904,Apollo Pharmacy,09-02-2026,Acct XX999 debited by Rs 1904 for Apollo Pharmacy on 09-02-2026.,Health
119,Dominos,23-01-2026,"Dear User, INR 119 spent on Dominos at 23-01-2026. Ref: 8932742.",Food
103,Ola,19-01-2026,Alert: You have spent Rs 103 at Ola on 19-01-2026. Clear bal: Rs. 1200.00,Travel
1703,15-01-2026 to BigBasket,15-01-2026,Rs. 1703 debited from a/c ending XX1234 on 15-01-2026 to BigBasket. Avl Bal: Rs 15000.,Groceries
753,Spencers,02-02-2026,Paid Rs 753 to Spencers via UPI on 02-02-2026. Txn ID: 998877.,Groceries
1557,card ending 4455,24-01-2026,INR 1557 charged on card ending 4455 at Spencers on 24-01-2026.,Groceries
462,McD,01-02-2026,Txn of INR 462 done at McDonalds on 01-02-2026 using UPI.,Food
1261,06-02-2026 to Reliance Fresh,06-02-2026,Rs. 1261 debited from a/c ending XX1234 on 06-02-2026 to Reliance Fresh. Avl Bal: Rs 15000.,Groceries
4583,H&M,05-02-2026,Alert: You have spent Rs 4583 at H&M on 05-02-2026. Clear bal: Rs. 1200.00,Shopping
801,Ola,18-01-2026,Paid Rs 801 to Ola via UPI on 18-01-2026. Txn ID: 998877.,Travel
1919,Spotify,31-01-2026,"Dear User, INR 1919 spent on Spotify at 31-01-2026. Ref: 8932742.",Entertainment
1068,Netmeds,07-02-2026,Txn of INR 1068 done at Netmeds on 07-02-2026 using UPI.,Health
1685,Practo,06-02-2026,Paid Rs 1685 to Practo via UPI on 06-02-2026. Txn ID: 998877.,Health
538,Netflix,10-01-2026,"Dear User, INR 538 spent on Netflix at 10-01-2026. Ref: 8932742.",Entertainment
510,Dr Lal P,21-01-2026,Acct XX999 debited by Rs 510 for Dr Lal Pathlabs on 21-01-2026.,Health
961,BigBasket,26-01-2026,Alert: You have spent Rs 961 at BigBasket on 26-01-2026. Clear bal: Rs. 1200.00,Groceries
462,Dr Lal P,26-01-2026,Txn of INR 462 done at Dr Lal Pathlabs on 26-01-2026 using UPI.,Health
1349,Reliance Fresh,09-02-2026,Txn of INR 1349 done at Reliance Fresh on 09-02-2026 using UPI.,Groceries
2646,Dec,10-01-2026,Alert: You have spent Rs 2646 at Decathlon on 10-01-2026. Clear bal: Rs. 1200.00,Shopping
701,BookMyShow,15-01-2026,Paid Rs 701 to BookMyShow via UPI on 15-01-2026. Txn ID: 998877.,Entertainment
1837,PVR,17-01-2026,You paid Rs 1837 at PVR via POS on 17-01-2026.,Entertainment
924,Netmeds,19-01-2026,Txn of INR 924 done at Netmeds on 19-01-2026 using UPI.,Health
380,1mg,02-02-2026,Txn of INR 380 done at 1mg on 02-02-2026 using UPI.,Health
75,card ending 4455,25-01-2026,INR 75 charged on card ending 4455 at Prime Video on 25-01-2026.,Entertainment
113,Cafe Coffee Day,31-01-2026,UPI txn of Rs 113 to Cafe Coffee Day on 31-01-2026 is successful.,Food
3752,Amaz,11-01-2026,Alert: You have spent Rs 3752 at Amazon on 11-01-2026. Clear bal: Rs. 1200.00,Shopping
320,Practo,19-01-2026,UPI txn of Rs 320 to Practo on 19-01-2026 is successful.,Health
267,Apollo Pharmacy,23-01-2026,Txn of INR 267 done at Apollo Pharmacy on 23-01-2026 using UPI.,Health
247,Spotify,10-01-2026,UPI txn of Rs 247 to Spotify on 10-01-2026 is successful.,Entertainment
870,card ending 4455,18-01-2026,INR 870 charged on card ending 4455 at Metro on 18-01-2026.,Travel
391,29-01-2026 to BigBasket,29-01-2026,Rs. 391 debited from a/c ending XX1234 on 29-01-2026 to BigBasket. Avl Bal: Rs 15000.,Groceries
3184,Flipkart,27-01-2026,Acct XX999 debited by Rs 3184 for Flipkart on 27-01-2026.,Shopping
1332,Blinkit,14-01-2026,"Dear User, INR 1332 spent on Blinkit at 14-01-2026. Ref: 8932742.",Groceries
1039,Hotstar,14-01-2026,"Dear User, INR 1039 spent on Hotstar at 14-01-2026. Ref: 8932742.",Entertainment
207,Starbucks,20-01-2026,Paid Rs 207 to Starbucks via UPI on 20-01-2026. Txn ID: 998877.,Food
1702,BigBasket,28-01-2026,Paid Rs 1702 to BigBasket via UPI on 28-01-2026. Txn ID: 998877.,Groceries
661,Practo,29-01-2026,You paid Rs 661 at Practo via POS on 29-01-2026.,Health
1303,Dr Lal P,02-02-2026,You paid Rs 1303 at Dr Lal Pathlabs via POS on 02-02-2026.,Health
1114,Dr Lal P,13-01-2026,Txn of INR 1114 done at Dr Lal Pathlabs on 13-01-2026 using UPI.,Health
923,Flipkart,08-02-2026,You paid Rs 923 at Flipkart via POS on 08-02-2026.,Shopping
1416,card ending 4455,03-02-2026,INR 1416 charged on card ending 4455 at Burger King on 03-02-2026.,Food
695,Dec,21-01-2026,"Dear User, INR 695 spent on Decathlon at 21-01-2026. Ref: 8932742.",Shopping
3070,Ajio,14-01-2026,Alert: You have spent Rs 3070 at Ajio on 14-01-2026. Clear bal: Rs. 1200.00,Shopping
315,Dominos,06-02-2026,Paid Rs 315 to Dominos via UPI on 06-02-2026. Txn ID: 998877.,Food
1517,Gaana,25-01-2026,Txn of INR 1517 done at Gaana on 25-01-2026 using UPI.,Entertainment
1782,BookMyShow,19-01-2026,"Dear User, INR 1782 spent on BookMyShow at 19-01-2026. Ref: 8932742.",Entertainment
1541,BigBasket,04-02-2026,Txn of INR 1541 done at BigBasket on 04-02-2026 using UPI.,Groceries
1450,KFC,29-01-2026,Alert: You have spent Rs 1450 at KFC on 29-01-2026. Clear bal: Rs. 1200.00,Food
774,Netflix,02-02-2026,Alert: You have spent Rs 774 at Netflix on 02-02-2026. Clear bal: Rs. 1200.00,Entertainment
612,Ajio,12-01-2026,You paid Rs 612 at Ajio via POS on 12-01-2026.,Shopping
304,BookMyShow,16-01-2026,Txn of INR 304 done at BookMyShow on 16-01-2026 using UPI.,Entertainment
1152,Apollo Pharmacy,16-01-2026,UPI txn of Rs 1152 to Apollo Pharmacy on 16-01-2026 is successful.,Health
1269,Blinkit,11-01-2026,Txn of INR 1269 done at Blinkit on 11-01-2026 using UPI.,Groceries
1102,02-02-2026 to Dr Lal P,02-02-2026,Rs. 1102 debited from a/c ending XX1234 on 02-02-2026 to Dr Lal Pathlabs. Avl Bal: Rs 15000.,Health
563,Subway,27-01-2026,You paid Rs 563 at Subway via POS on 27-01-2026.,Food
1228,04-02-2026 to PVR,04-02-2026,Rs. 1228 debited from a/c ending XX1234 on 04-02-2026 to PVR. Avl Bal: Rs 15000.,Entertainment
2639,Flipkart,05-02-2026,"Dear User, INR 2639 spent on Flipkart at 05-02-2026. Ref: 8932742.",Shopping
368,Reliance Fresh,22-01-2026,UPI txn of Rs 368 to Reliance Fresh on 22-01-2026 is successful.,Groceries
4088,Croma,21-01-2026,Acct XX999 debited by Rs 4088 for Croma on 21-01-2026.,Shopping
1636,Netmeds,28-01-2026,"Dear User, INR 1636 spent on Netmeds at 28-01-2026. Ref: 8932742.",Health
217,Rapido,18-01-2026,Acct XX999 debited by Rs 217 for Rapido on 18-01-2026.,Travel
1948,Spencers,03-02-2026,You paid Rs 1948 at Spencers via POS on 03-02-2026.,Groceries
2133,Croma,08-02-2026,You paid Rs 2133 at Croma via POS on 08-02-2026.,Shopping
576,card ending 4455,10-01-2026,INR 576 charged on card ending 4455 at SpiceJet on 10-01-2026.,Travel
